City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Sorong,ID,-0.88,131.25,80.35,85,100,11.74,overcast clouds
257,Aklavik,CA,68.22,-135.01,26.6,63,75,15.73,broken clouds
258,Manggar,ID,-2.88,108.27,80.37,80,93,4.38,overcast clouds
259,Kaseda,JP,31.42,130.32,64.0,88,100,11.01,overcast clouds
260,Rosarito,MX,32.33,-117.03,62.01,63,75,18.34,broken clouds
261,Nanortalik,GL,60.14,-45.24,32.43,90,100,7.02,overcast clouds
262,Vardo,NO,70.37,31.11,39.45,75,99,35.79,light rain
263,Kilindoni,TZ,-7.91,39.67,80.58,80,1,14.23,light rain
264,Rabat,MA,33.99,-6.84,64.0,82,20,4.03,few clouds
265,Honningsvag,NO,70.98,25.97,40.08,76,98,28.97,light rain
266,Brumunddal,NO,60.88,10.94,37.0,90,93,0.76,overcast clouds
267,Bykovo,RU,55.64,38.08,43.0,75,0,8.95,clear sky
268,Omsukchan,RU,62.53,155.8,-1.77,89,100,4.63,overcast clouds
269,Port Augusta,AU,-32.5,137.77,48.99,93,0,5.82,clear sky
270,Watsa,CD,3.04,29.54,65.57,99,97,1.36,light rain
271,Marawi,PH,8.0,124.29,73.99,93,100,5.01,overcast clouds
272,Chor,PK,25.52,69.77,76.23,29,0,8.23,clear sky
273,Lata,PT,40.16,-8.33,60.01,92,100,1.01,overcast clouds
274,Broome,US,42.25,-75.83,70.0,42,1,8.05,clear sky
275,Esperance,AU,-33.87,121.9,55.4,100,6,6.93,clear sky
276,Rio Grande,BR,-32.03,-52.1,73.4,69,75,20.8,broken clouds
277,Safaga,EG,26.73,33.94,75.2,47,0,3.36,clear sky
278,Plerin,FR,48.54,-2.78,57.2,82,0,5.82,light rain
279,Lompoc,US,34.64,-120.46,57.2,71,75,11.41,broken clouds
280,Mehamn,NO,71.04,27.85,37.78,78,70,23.31,broken clouds
281,Carballo,ES,43.21,-8.69,59.0,87,20,5.82,few clouds
282,Nur,PL,52.67,22.32,46.99,86,0,1.99,clear sky
283,Flinders,AU,-34.58,150.86,55.0,82,65,7.31,broken clouds
284,Muroto,JP,33.28,134.15,70.3,74,100,8.66,overcast clouds
285,Tiruchchirappalli,IN,10.82,78.68,80.6,88,20,8.05,mist
286,Cherskiy,RU,68.75,161.3,5.49,95,100,6.08,overcast clouds
287,El Triunfo,EC,-1.93,-79.97,84.2,54,75,6.93,broken clouds
288,Creel,MX,27.75,-107.63,65.32,29,0,14.07,clear sky
289,San Luis,AR,-33.3,-66.34,84.76,23,63,8.25,broken clouds
290,Santa Rosalia,MX,27.32,-112.28,82.08,37,9,6.71,clear sky
291,Nexo,DK,55.06,15.13,50.0,87,0,12.75,clear sky
292,Haines Junction,CA,60.75,-137.51,-11.2,69,99,0.25,overcast clouds
293,Erzin,TR,36.96,36.2,64.99,52,0,8.99,clear sky
