City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Todos Santos,MX,82.99,clear sky,23.45,-110.22,Hotel California Todos Santos
593,Meulaboh,ID,76.44,overcast clouds,4.14,96.13,Kost Pria
594,Mount Isa,AU,77.0,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
602,Odienne,CI,77.67,clear sky,9.51,-7.57,Oustaz Vame DIAKITE
603,Dosso,NE,81.45,clear sky,13.05,3.19,Hotel Toubal
605,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
608,Labuhan,ID,78.85,clear sky,-6.88,112.21,bador sepret
610,Umm Kaddadah,SD,76.96,clear sky,13.6,26.69,
611,Maragogi,BR,78.67,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
614,Eyl,SO,78.39,broken clouds,7.98,49.82,Amiin Hotel
615,Kihei,US,84.2,scattered clouds,20.79,-156.47,Maui Sunset
617,Ojinaga,MX,80.6,clear sky,29.57,-104.42,Suites Las Palmas
623,San Ciro De Acosta,MX,77.13,scattered clouds,21.63,-99.82,Hotel Maria Isabel
627,Boca Raton,US,80.6,heavy intensity rain,26.36,-80.08,"Boca Beach Club, A Waldorf Astoria Resort"
628,Kandrian,PG,77.05,overcast clouds,-6.22,149.55,Kandrian Station
632,Morehead,US,78.8,clear sky,37.27,-87.18,CCI Express Inn
633,Daru,PG,76.73,overcast clouds,-9.08,143.21,New century hotel
636,Dapaong,TG,82.74,broken clouds,10.86,0.2,Hotel Caroli
640,Lahaina,US,84.2,haze,20.88,-156.68,Lahaina Shores Beach Resort
645,Padang,ID,77.63,light rain,-0.95,100.35,Mercure Padang
651,Camocim,BR,85.71,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
653,Oistins,BB,87.8,light rain,13.07,-59.53,Butterfly Beach Hotel
655,Mareeba,AU,75.2,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
656,Barra Patuca,HN,83.52,overcast clouds,15.8,-84.28,
657,Oliveira Dos Brejinhos,BR,79.75,light rain,-12.32,-42.9,Hotel Paraiso
658,Callaway,US,82.4,broken clouds,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
662,Biltine,TD,78.58,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
665,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
668,Kuching,MY,77.0,light rain,1.55,110.33,Hilton Kuching
674,Cozumel,MX,84.99,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
677,Belmonte,BR,78.8,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
